key,key2,original_title,year,duration,Actual,Predicted
929,568,Bubble,2005,73,0,0
674,572,Conquest of the Planet of the Apes,1972,88,1,1
1206,577,The Little Traitor,2007,88,0,0
1470,584,The French Connection,1971,104,0,0
457,587,Dog Day Afternoon,1975,125,1,0
645,594,Fakers,2004,85,1,0
1256,597,Meduzot,2007,78,0,0
1586,598,The Last Exorcism,2010,87,0,0
580,603,River's Edge,1986,99,0,0
4,606,Xing fu shi guang,2000,102,0,0
366,607,Northfork,2003,103,0,0
496,611,To Kill a Mockingbird,1962,129,0,0
268,612,From Russia with Love,1963,115,1,1
58,614,Bananas,1971,82,1,0
1379,615,Deliverance,1972,109,1,0
126,616,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972,88,0,1
745,619,Up in Smoke,1978,86,0,0
444,622,King of the Mountain,1981,90,0,0
440,631,Cronos,1993,94,1,1
1064,635,The Myth of Fingerprints,1997,93,1,1
231,640,Boys Don't Cry,1999,118,0,1
1098,642,Camera Obscura,2000,99,1,1
1139,644,Y tu mamá también,2001,106,0,0
1041,655,Das Leben der Anderen,2006,137,1,1
654,657,Me and You and Everyone We Know,2005,91,1,0
222,662,Paradise Now,2005,91,0,0
545,664,Sione's Wedding,2006,97,1,1
233,668,Day Zero,2007,92,0,1
1416,684,Higher Ground,2011,109,1,1
642,686,Courageous,2011,129,1,0
871,692,Silent House,2011,86,1,1
1549,696,Wakolda,2013,93,0,0
1453,697,Filly Brown,2012,80,0,0
644,698,Liberal Arts,2012,97,1,0
730,699,Hit and Run,2012,100,0,0
331,709,The Diary of a Teenage Girl,2015,102,0,0
1304,716,Little Men,2016,85,0,1
416,718,Jeremiah Terminator LeRoy,2018,108,0,0
343,720,The Florida Project,2017,111,0,0
808,721,Arctic,2018,98,0,0
1515,722,Eighth Grade,2018,93,0,0
718,725,Omar,2013,98,0,0
1457,734,Friday the 13th: A New Beginning,1985,92,0,0
101,736,The Last Sin Eater,2007,117,1,1
1321,739,Breaking Away,1979,101,0,0
473,741,Amateur,1994,105,0,0
955,742,Gardens of the Night,2008,110,0,1
1131,745,The Super,2017,90,1,0
984,753,Lazer Team,2015,102,1,1
1155,755,Breakfast at Tiffany's,1961,115,0,0
669,766,The Lair of the White Worm,1988,93,0,0
1392,776,The Mystic Masseur,2001,117,0,0
611,779,All the Real Girls,2003,108,0,0
181,787,Vitus,2006,100,0,0
1160,795,Multiple Sarcasms,2010,97,0,0
705,798,Line of Duty,2013,112,0,1
1384,804,About Cherry,2012,98,0,0
1584,808,Hell Baby,2013,98,0,1
217,811,Stung,2015,87,1,0
727,813,Singin' in the Rain,1952,103,1,0
867,815,Pinocchio,1940,88,0,0
287,819,Los cronocrímenes,2007,92,0,0
662,820,Vincent N Roxxy,2016,102,0,0
1156,828,The Monster,2016,91,1,0
767,832,The Wizard of Oz,1939,102,0,1
259,837,Mystery Train,1989,110,0,0
492,842,Phoenix Forgotten,2017,87,0,0
1576,845,The Longest Yard,1974,121,1,1
636,847,Black Dynamite,2009,84,0,0
81,849,The Treasure of the Sierra Madre,1948,126,0,0
33,850,The Bridge on the River Kwai,1957,161,0,1
1297,851,"Suddenly, Last Summer",1959,114,0,0
72,855,The Sword in the Stone,1963,79,0,1
1578,860,Beneath the Planet of the Apes,1970,95,0,0
1494,862,Serpico,1973,130,0,0
1287,864,The Sugarland Express,1974,110,0,0
1534,872,More American Graffiti,1979,110,1,0
1230,873,Motel Hell,1980,101,1,1
313,884,Ernest Goes to Camp,1987,92,1,0
684,888,I'm Gonna Git You Sucka,1988,88,0,0
389,890,Heathers,1989,103,0,0
1298,905,Blackwoods,2001,92,0,0
186,916,My Big Fat Independent Movie,2005,80,0,0
1328,923,The Groomsmen,2006,98,0,0
895,928,Frontière(s),2007,108,1,0
1122,931,Choke,2008,92,0,0
689,932,The People I've Slept With,2012,89,0,1
447,941,Protektor,2009,98,0,0
273,942,Letters to God,2010,110,0,0
325,946,Paranormal Activity 2,2010,91,0,1
685,948,Hobo with a Shotgun,2011,86,0,1
605,949,Nothing Left to Fear,2013,100,0,0
359,959,La Danza de la Realidad,2013,133,1,0
1579,962,The Childhood of a Leader,2015,115,0,0
486,964,Amnesiac,2014,90,0,1
1577,968,Tusk,2014,102,0,0
574,970,Compadres,2016,101,0,0
1554,972,Love,2015,135,0,0
756,978,L'insulte,2017,113,0,0
501,982,The Ultimate Life,2013,105,0,0
1399,983,North by Northwest,1959,136,0,0
82,990,Beginners,2010,105,0,0
1317,992,The Meddler,2015,103,1,0
196,997,Bella,2006,91,0,0
1217,1000,Relatos salvajes,2014,122,0,1
1299,1002,Sweet Smell of Success,1957,96,0,0
1178,1007,"Kiss Me, Stupid",1964,125,0,0
1437,1015,Day of the Dead,1985,96,1,1
1147,1019,Night on Earth,1991,129,1,0
428,1021,Fresh,1994,114,1,1
239,1022,Friday,1995,91,0,1
943,1024,Taxman,1998,104,1,0
1163,1026,Cotton Mary,1999,124,0,0
870,1028,Whale Rider,2002,101,0,0
582,1030,Ju-on,2002,92,0,0
1079,1034,Tamara,2005,98,0,0
342,1036,Then She Found Me,2007,100,0,1
1504,1037,Ira & Abby,2006,104,0,0
1132,1040,Winchester,2018,99,0,0
792,1045,Dark Skies,2013,97,0,0
1519,1052,Midnight Cowboy,1969,113,1,1
1232,1059,The Outlaw Josey Wales,1976,135,0,0
694,1061,Tonari no Totoro,1988,86,1,0
587,1064,Hounddog,2007,102,0,1
1544,1068,The Good Heart,2009,99,0,0
881,1081,The Jungle Book,1967,78,0,0
988,1083,The AristoCats,1970,78,0,0
1561,1084,Kelly's Heroes,1970,144,0,0
548,1085,Dirty Harry,1971,102,0,0
795,1091,Flashdance,1983,95,0,0
1385,1093,The Adventures of Bob & Doug McKenzie: Strange Brew,1983,90,0,0
1404,1095,Sid and Nancy,1986,112,0,0
763,1098,They Live,1988,94,0,0
592,1102,South Central,1992,98,0,0
206,1107,The Loss of Sexual Innocence,1999,106,1,0
1377,1115,The Rules of Attraction,2002,110,1,1
102,1117,Boksuneun naui geot,2002,129,0,0
589,1118,Thumbsucker,2005,96,1,0
1406,1130,December Boys,2007,105,1,0
958,1135,Tennessee,2008,99,0,0
1513,1140,Red State,2011,88,1,0
1227,1142,The Objective,2008,90,0,0
192,1144,Adult World,2013,97,0,0
1309,1146,Survival of the Dead,2009,90,0,0
238,1153,Another Happy Day,2011,119,0,0
304,1154,In Their Skin,2012,97,1,0
1499,1165,Outpost 37,2014,90,0,0
783,1170,The VVitch: A New-England Folktale,2015,92,0,0
392,1172,Traffik,2018,96,0,0
1409,1175,Vivarium,2019,97,0,0
280,1178,Night of the Living Dead,1990,92,0,0
1026,1179,Chun gwong cha sit,1997,96,0,0
557,1180,Nochnoy dozor,2004,114,0,0
1016,1183,The Nile Hilton Incident,2017,111,0,0
846,1190,Reflections in a Golden Eye,1967,108,0,1
779,1191,The Big Red One,1980,113,0,1
931,1194,Silent Rage,1982,103,0,0
1011,1198,The Sure Thing,1985,100,1,0
1213,1199,Salvador,1986,122,0,0
367,1223,Hadewijch,2009,105,1,0
804,1224,Pat Garrett & Billy the Kid,1973,122,0,0
566,1228,Adoration,2008,101,0,0
507,1233,Lights Out,2016,81,1,1
98,1235,Swiss Family Robinson,1960,126,0,0
1198,1238,The Return of the Pink Panther,1975,113,0,0
667,1239,Tommy,1975,111,0,1
858,1240,Every Which Way but Loose,1978,114,0,0
246,1241,Force 10 from Navarone,1978,118,1,0
1394,1250,Diner,1982,110,0,0
556,1256,April Fool's Day,1986,89,0,0
993,1257,Night of the Creeps,1986,88,0,0
1271,1260,Street Smart,1987,97,0,0
934,1269,UHF,1989,97,0,0
700,1271,Hellraiser III: Hell on Earth,1992,97,0,0
1356,1274,Halloween: The Curse of Michael Myers,1995,87,0,0
1326,1276,The Apostle,1997,89,0,0
1081,1277,Your Friends and Neighbors,1998,100,1,0
850,1280,Slums of Beverly Hills,1998,91,1,0
524,1282,O,2001,95,0,0
5,1290,Billy Elliot,2000,110,0,0
616,1295,La mala educación,2004,106,0,0
575,1296,National Lampoon's Van Wilder,2002,92,0,0
976,1297,Fascination,2004,95,0,0
639,1298,25th Hour,2002,135,0,0
1179,1304,Tasogare Seibei,2002,129,0,0
288,1305,Riding the Bullet,2004,98,1,1
513,1306,The Machinist,2004,101,0,0
987,1308,Delirious,2006,107,1,0
432,1309,The Oh in Ohio,2006,88,0,0
588,1310,Clerks II,2006,97,0,0
847,1314,Youth Without Youth,2007,124,1,0
62,1317,Bakjwi,2009,134,1,0
108,1323,Bottle Shock,2008,110,1,0
517,1324,Rabbit Hole,2010,91,0,0
1546,1326,Reach Me,2014,95,0,1
757,1333,Black Christmas,2019,92,0,0
321,1334,The Belko Experiment,2016,89,0,0
323,1335,"Lovely, Still",2008,92,1,1
348,1347,Waiting for Forever,2010,95,0,0
1410,1350,Twelve,2010,93,0,0
701,1356,Area 51,2015,91,0,0
686,1360,Better Living Through Chemistry,2014,91,0,0
643,1370,The Way Way Back,2013,103,0,0
1019,1376,CBGB,2013,102,0,0
1042,1380,Girl in Progress,2012,93,0,0
1342,1386,Paranormal Activity 4,2012,88,0,0
54,1388,Insidious: Chapter 2,2013,106,0,1
94,1390,No se aceptan devoluciones,2013,115,1,0
1351,1392,The Green Inferno,2013,100,1,1
1074,1398,"As Above, So Below",2014,93,1,1
1422,1402,Incarnate,2016,87,1,0
1456,1406,Pali Road,2015,92,0,0
349,1416,Woodshock,2017,100,1,1
1424,1417,It Comes at Night,2017,91,0,0
244,1422,Tesla,2020,102,1,0
959,1423,The Big Sick,2017,120,0,0
434,1426,Disturbing the Peace,2020,91,0,0
1537,1428,Upgrade,2018,100,0,0
711,1435,Gretel & Hansel,2020,87,1,1
495,1438,Somewhere in Time,1980,103,0,0
600,1439,Shrink,2009,104,0,0
1277,1441,Bats,1999,91,1,1
840,1444,King of New York,1990,103,0,0
1272,1446,Giant,1956,201,0,0
906,1450,Bullitt,1968,114,0,0
563,1457,Thief,1981,123,1,0
596,1463,Salvation Boulevard,2011,96,0,1
940,1464,Hævnen,2010,118,0,0
1573,1468,Show Dogs,2018,92,0,0
839,1469,All the Right Moves,1983,91,0,0
1380,1470,Sunshine State,2002,141,0,0
344,1472,Lucky Day,2019,99,0,0
778,1475,Crossover,2006,95,0,0
857,1480,Butch Cassidy and the Sundance Kid,1969,110,1,0
1236,1485,Grease,1978,110,0,1
726,1488,The First Great Train Robbery,1978,110,1,0
275,1497,Nightmares,1983,99,0,0
40,1501,To Live and Die in L.A.,1985,116,0,0
1102,1505,Hoosiers,1986,114,0,0
329,1506,Lucas,1986,100,1,0
874,1508,Dirty Dancing,1987,100,1,1
599,1509,The Fourth Protocol,1987,119,0,0
996,1517,Mystic Pizza,1988,104,1,0
796,1520,Lionheart,1990,108,0,0
123,1521,Candyman,1992,99,0,0
1331,1527,The Usual Suspects,1995,106,0,0
1051,1536,My Dog Skip,2000,95,0,0
1398,1541,Crush,2001,108,0,0
610,1545,The Brothers,2001,106,1,1
560,1549,Shattered Glass,2003,94,0,0
1475,1550,11:14,2003,86,0,0
910,1551,Grind,2003,105,0,0
717,1553,The Room,2003,99,0,0
553,1564,Ta Ra Rum Pum,2007,153,0,0
100,1573,City Island,2009,104,0,1
1162,1579,Booksmart,2019,102,0,0
210,1586,The Words,2012,102,0,0
