actor,total movies
Dermot Mulroney,10
Olivia Wilde,10
Stephen Dorff,10
Amber Heard,10
Richard Jenkins,10
Heather Graham,10
Jesse Eisenberg,10
Carla Gugino,10
Daniel Day-Lewis,10
Laura Linney,10
Marcia Gay Harden,10
Michael J. Fox,10
David Duchovny,10
Evan Rachel Wood,10
Selma Blair,10
Saoirse Ronan,10
Shirley MacLaine,10
Bill Pullman,10
Andy Garcia,10
Frank Langella,10
Charlie Sheen,10
Jean Reno,10
Terrence Howard,10
Anthony Anderson,10
Tilda Swinton,10
Maria Bello,10
Bette Midler,10
Paul Bettany,10
Dakota Fanning,10
Toni Collette,10
Emma Thompson,10
Mandy Moore,10
Carrie Fisher,10
Elle Fanning,10
Sarah Michelle Gellar,10
Tyler Perry,10
Salma Hayek,10
Seann William Scott,10
Chris Pratt,10
John Turturro,10
Justin Timberlake,10
Kelly Preston,10
Melissa McCarthy,10
Oscar Isaac,10
Joan Allen,10
Jason Clarke,10
Yun-Fat Chow,10
Tobey Maguire,10
Zach Galifianakis,10
Kristin Scott Thomas,9
Maggie Smith,9
Jeremy Renner,9
Edward Burns,9
Derek Luke,9
Oliver Platt,9
Martin Sheen,9
Famke Janssen,9
Barbara Hershey,9
Amy Smart,9
Abigail Breslin,9
Burt Young,9
Frank Grillo,9
Jack Lemmon,9
Marlon Brando,9
Alfred Molina,9
Gael García Bernal,9
Liev Schreiber,9
Peter Sarsgaard,9
Vanessa Hudgens,9
Matthew Modine,9
Josh Lucas,9
Steve Zahn,9
Brian Cox,9
Miles Teller,9
Lena Headey,9
Max von Sydow,9
Vincent D'Onofrio,9
Téa Leoni,9
Patricia Arquette,9
John Lithgow,9
Virginia Madsen,9
Emily Watson,9
Robert Pattinson,9
Hailee Steinfeld,9
Bill Nighy,9
Judi Dench,9
Craig T. Nelson,9
Anthony Mackie,9
Jason Lee,9
Stellan Skarsgård,9
Michael Peña,9
Nicholas Hoult,9
Melanie Griffith,9
Minnie Driver,9
Ving Rhames,9
Keira Knightley,9
Christoph Waltz,9
Geena Davis,9
Freddie Prinze Jr.,9
Chris O'Donnell,9
Danny Huston,9
Jason Segel,9
Julia Stiles,9
Scott Glenn,9
Michael Sheen,9
Tina Fey,9
Timothy Olyphant,9
Ray Liotta,9
Josh Hutcherson,9
Don Cheadle,9
Joan Cusack,9
Radha Mitchell,8
Robin Wright,8
Emily Mortimer,8
Bruce Davison,8
Lindsay Lohan,8
Catherine Deneuve,8
Donald Pleasence,8
Alicia Silverstone,8
Mary Elizabeth Winstead,8
Paul Dano,8
Ian Holm,8
Michael Angarano,8
Alexis Bledel,8
Emilio Estevez,8
Neve Campbell,8
Scott Speedman,8
J.K. Simmons,8
Gary Busey,8
Michael Madsen,8
Sam Elliott,8
Christina Ricci,8
Richard Pryor,8
Roy Scheider,8
James Woods,8
Ron Perlman,8
Jon Hamm,8
Wes Bentley,8
Jeremy Northam,8
Tom Skerritt,8
Brie Larson,8
Chuck Norris,8
Sarah Polley,8
